,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,fare_percent
0,0,3,male,22.0,1,0,7.25,S,Third,man,True,,Southampton,no,False,0.026713227712031242
1,1,1,female,38.0,1,0,71.2833,C,First,woman,False,C,Cherbourg,yes,False,0.26264924482276364
2,1,3,female,26.0,0,0,7.925,S,Third,woman,False,,Southampton,yes,True,0.02920032132659967
3,1,1,female,35.0,1,0,53.1,S,First,woman,False,C,Southampton,yes,False,0.19565136434604954
4,0,3,male,35.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,0.029660894218186417
5,0,3,male,28.0,0,0,8.4583,Q,Third,man,True,,Queenstown,no,True,0.03116530951126536
6,0,1,male,54.0,0,0,51.8625,S,First,man,True,E,Southampton,no,True,0.19109169271934073
7,0,3,male,2.0,3,1,21.075,S,Third,child,False,,Southampton,no,False,0.0776525895215253
8,1,3,female,27.0,0,2,11.1333,S,Third,woman,False,,Southampton,yes,False,0.041021569391221716
9,1,2,female,14.0,1,0,30.0708,C,Second,child,False,,Cherbourg,yes,False,0.11079836246661366
10,1,3,female,4.0,1,1,16.7,S,Third,child,False,G,Southampton,yes,False,0.061532538315989205
11,1,1,female,58.0,0,0,26.55,S,First,woman,False,C,Southampton,yes,True,0.09782568217302477
12,0,3,male,20.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,0.029660894218186417
13,0,3,male,39.0,1,5,31.275,S,Third,man,True,,Southampton,no,False,0.11523533747500372
14,0,3,female,14.0,0,0,7.8542,S,Third,child,False,,Southampton,no,True,0.028939452840804937
15,1,2,female,55.0,0,0,16.0,S,Second,woman,False,,Southampton,yes,True,0.05895333012310343
16,0,3,male,2.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False,0.10731348373971172
17,1,2,male,28.0,0,0,13.0,S,Second,man,True,,Southampton,yes,True,0.04789958072502154
18,0,3,female,31.0,1,0,18.0,S,Third,woman,False,,Southampton,no,False,0.06632249638849136
19,1,3,female,28.0,0,0,7.225,C,Third,woman,False,,Cherbourg,yes,True,0.02662111313371389
20,0,2,male,35.0,0,0,26.0,S,Second,man,True,,Southampton,no,True,0.09579916145004308
21,1,2,male,34.0,0,0,13.0,S,Second,man,True,D,Southampton,yes,True,0.04789958072502154
22,1,3,female,15.0,0,0,8.0292,Q,Third,child,False,,Queenstown,yes,True,0.02958425488902638
23,1,1,male,28.0,0,0,35.5,S,First,man,True,A,Southampton,yes,True,0.13080270121063575
24,0,3,female,8.0,3,1,21.075,S,Third,child,False,,Southampton,no,False,0.0776525895215253
25,1,3,female,38.0,1,5,31.3875,S,Third,woman,False,,Southampton,yes,False,0.11564985307743181
26,0,3,male,28.0,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,0.02662111313371389
27,0,1,male,19.0,3,2,263.0,S,First,man,True,C,Southampton,no,False,0.9690453638985127
